time,cd_pressure,cd_viscous_estimate,cd_estimate,cl_estimate,wake_probe_v
2.8,1.1713347978825084,0.3077021154616052,1.4790369133441135,0.020285360871181907,-0.31903521941059737
2.9,1.1861653216312593,0.3066788100492839,1.4928441316805432,0.019742975892982448,-0.32586788619730755
3.0,1.2078934055415778,0.30650726759690394,1.5144006731384816,0.01988777927548757,-0.3309927010827728
3.1,1.218599084797206,0.3068296781649634,1.5254287629621692,0.020231314611850695,-0.3343593401728073
3.2,1.2076528121776222,0.3068609730312381,1.5145137852088604,0.020320463207797318,-0.33599830253354906
3.3,1.180838253000186,0.30602681567295226,1.4868650686731382,0.019986659057421585,-0.33602863922552095
3.4,1.151316088768615,0.30431530938931894,1.4556313981579339,0.01931514724963991,-0.33460280016401256
3.5,1.1282183669295782,0.3021021704416256,1.4303205373712038,0.018531039785763634,-0.33192642110879805
3.6,1.1139236541804822,0.2998100418841917,1.4137336960646738,0.01782679265377818,-0.32827302942152026
3.7,1.1071500115389035,0.2977251553765947,1.4048751669154984,0.017306904887313748,-0.32388856610412986
3.8,1.1057418426844299,0.2959852320896622,1.401727074774092,0.01698919338792955,-0.31890500154828344
3.9,1.1074247648073485,0.2946199320283567,1.4020446968357052,0.016823505311823375,-0.31336469904367076
4.0,1.109902711859484,0.29358141303380253,1.4034841248932866,0.016714513613785398,-0.3073025241505383
4.1,1.1113027905407433,0.2927719395751883,1.4040747301159318,0.01656340658101646,-0.300789151427771
4.2,1.1107007064421197,0.29208077565697066,1.4027814820990903,0.016322491540786258,-0.2939206591805848
4.3,1.1081987538761697,0.29142022230822956,1.3996189761843993,0.016028605540020197,-0.2867929024196075
4.4,1.104520693690779,0.29074416009318094,1.39526485378396,0.015788041324789837,-0.2794893165735323
4.5,1.1004769752846952,0.29004472291263084,1.3905216981973259,0.015720177524142967,-0.2720828074124864
4.6,1.0966104451601595,0.2893359354367264,1.3859463805968857,0.01587974340329261,-0.2646405199247276
4.7,1.093129305713694,0.28863674351565105,1.381766049229345,0.0162095606636824,-0.25722112717188117
4.8,1.0900096474891767,0.28796079380850076,1.3779704412976774,0.016557845098134474,-0.249871483058206
4.9,1.0871347433216367,0.2873139101316795,1.3744486534533165,0.01672459947677074,-0.24262168682610608
5.0,1.0843953912907345,0.2866959604769401,1.3710913517676744,0.01654536451521263,-0.23548681571981572
