# step time total_mass total_momentum_x total_momentum_y total_momentum_z total_energy
460 0.050540288565844811 19.678761677314519 13.116273481503534 -1.4085586165599618e-15 -2.4524238536041495e-16 886.46055091848484
480 0.052737693067766538 19.678761677314249 13.116253998121348 -1.4298149083713085e-15 -2.5794272321657365e-16 886.46054063157703
500 0.054935097604285152 19.678761677314451 13.116235039855724 -1.4597626052544315e-15 -2.6862093181464045e-16 886.46053063094018
520 0.057132502173526591 19.678761677313545 13.116216579619737 -1.4727035746225827e-15 -2.8050407473313568e-16 886.46052090257388
540 0.059329906773781214 19.678761677313823 13.116198592546016 -1.4659302756598637e-15 -2.8342020537572872e-16 886.46051143344721
560 0.0615273114035048 19.678761677313098 13.116181055734726 -1.360974846682057e-15 -2.9259649521119301e-16 886.46050221135283
580 0.063724716061317827 19.678761677314018 13.116163948039407 -1.3167571857365407e-15 -3.05566817700141e-16 886.46049322493991
600 0.065922120746001525 19.678761677314739 13.116147249884627 -1.2634504377505122e-15 -3.180714615647268e-16 886.46048446352938
620 0.068119525456489596 19.678761677313666 13.116130943102927 -1.1640244398523816e-15 -3.2785119358100911e-16 886.46047591717524
640 0.070316930191855545 19.678761677313521 13.116115010797996 -1.095738761227108e-15 -3.3337871786738252e-16 886.46046757692841
660 0.072514334951272519 19.678761677313869 13.116099437220898 -1.0103574166274009e-15 -3.4230878516636086e-16 886.46045943403874
680 0.074711739734031501 19.678761677313581 13.116084207664962 -9.984553331690571e-16 -3.5159810484524958e-16 886.46045148085341
700 0.07690914453952441 19.678761677313915 13.116069308369532 -9.4924398948300313e-16 -3.6256063401061411e-16 886.46044371001835
720 0.079106549367212287 19.678761677313794 13.116054726435145 -8.6034068188861265e-16 -3.7467426651091092e-16 886.46043611498476
740 0.08130395421660648 19.678761677313886 13.116040449754546 -7.0887679135944043e-16 -3.8324012683536996e-16 886.46042868952372
760 0.083501359087251481 19.678761677313222 13.11602646694217 -5.672558471938368e-16 -3.9506673693438754e-16 886.46042142802821
780 0.08569876397870968 19.678761677313553 13.116012767275251 -4.6276925095233533e-16 -4.0598558097070717e-16 886.4604143252534
800 0.087896168890548729 19.678761677312988 13.1159993406431 -3.3545808139764585e-16 -4.1790065349342563e-16 886.46040737627379
820 0.090093573822331074 19.678761677314014 13.115986177500133 -2.5744465288963028e-16 -4.2831982234049169e-16 886.46040057660559
840 0.09229097877360555 19.678761677313965 13.115973268816774 -2.7167311233760802e-16 -4.3600835944912291e-16 886.46039392222326
860 0.094488383743900548 19.678761677313226 13.115960606051779 -2.3945621418879071e-16 -4.4321035762211073e-16 886.46038740931135
880 0.096685788732718297 19.678761677313872 13.115948181102983 -2.3678848392141329e-16 -4.5374897299038228e-16 886.46038103427577
900 0.098883193739529585 19.678761677313645 13.115935986290648 -2.3835930652209639e-16 -4.5896574847183465e-16 886.46037479408483
920 0.10108059876376886 19.678761677313574 13.115924014316466 -2.0263399790575176e-16 -4.6817527981893779e-16 886.46036868590136
940 0.10327800380482881 19.678761677313528 13.115912258243402 -1.5562409284961172e-16 -4.7586973462011578e-16 886.46036270713944
960 0.10547540886205461 19.678761677313464 13.115900711469358 -1.2763854778880326e-16 -4.8227771864476708e-16 886.46035685581262
980 0.10767281393473727 19.678761677312785 13.115889367705554 -1.6730192433516995e-16 -4.9421245546645636e-16 886.46035113006974
1000 0.10987021902210636 19.678761677313197 13.115878220957516 -2.3059688483522117e-16 -5.0224318004805531e-16 886.46034552845185
1020 0.11206762412332202 19.678761677313521 13.115867265504805 -2.8601634474993871e-16 -5.144061374166826e-16 886.46034005004071
