# step time dt cfl wall_time total_l2 rho_l2 rhou_l2 rhov_l2 rhow_l2 rhoE_l2 rho_reference_l2 rhou_reference_l2 rhov_reference_l2 rhow_reference_l2 rhoE_reference_l2 rho_normalized_l2 rhou_normalized_l2 rhov_normalized_l2 rhow_normalized_l2 rhoE_normalized_l2 rho_linf rhou_linf rhov_linf rhow_linf rhoE_linf rho_reference_linf rhou_reference_linf rhov_reference_linf rhow_reference_linf rhoE_reference_linf rho_normalized_linf rhou_normalized_linf rhov_normalized_linf rhow_normalized_linf rhoE_normalized_linf consecutive reconstruction_fallbacks riemann_fallbacks residual_checked stop_reason
26 0.0021041278800138265 8.0354415429471378e-05 0.20000000000000001 19.186684 11007.950130938885 257.7071729132889 2374.7885240250748 1397.594919030018 0 24458.444867727718 nan nan nan nan nan nan nan nan nan nan 7705.866029158793 73053.445459574752 32543.806387816789 0 750905.89571681735 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
27 0.0021840869369263043 7.995905691247797e-05 0.20000000000000001 19.989363000000001 10993.625868746783 256.67562300698467 2368.7179521403309 1393.2239128670751 0 24427.060173632639 nan nan nan nan nan nan nan nan nan nan 8308.1191830026837 80561.728314932363 32090.342811667491 0 846578.82154687925 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
28 0.0022637388245813784 7.9651887655074092e-05 0.20000000000000001 20.733713999999999 10984.494794624181 256.50175777031285 2366.1906849060492 1388.4481773201367 0 24407.031560913951 nan nan nan nan nan nan nan nan nan nan 8656.0908238972934 84940.305307739531 33007.402215701441 0 908980.65161197551 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
29 0.0023432839437669268 7.9545119185548649e-05 0.20000000000000001 21.487286999999998 11072.159767838053 258.57471768430548 2384.0388756024599 1396.9920361431923 0 24602.063340878572 nan nan nan nan nan nan nan nan nan nan 8778.3903824230038 86710.520023843565 47753.601669542331 0 938106.44740713038 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
30 0.0024228408878718107 7.955694410488373e-05 0.20000000000000001 22.226505 11064.177838093283 258.16964777398175 2381.0313297347589 1393.7781355775126 0 24584.580063799105 nan nan nan nan nan nan nan nan nan nan 8685.7330794333593 85861.809901205983 45668.997687049748 0 940074.63399120327 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
31 0.0025024727404189106 7.963185254709974e-05 0.20000000000000001 22.983696999999999 11024.527323234573 257.23225511701793 2368.0245778679305 1392.5873943829545 0 24496.69375687819 nan nan nan nan nan nan nan nan nan nan 8504.7293823748187 83607.498693627771 41833.329718538967 0 925427.59384218219 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
32 0.0025821983844268124 7.9725644007901762e-05 0.20000000000000001 23.847708999999998 10959.391570324637 256.35505126158716 2352.4705320051439 1387.8222938935012 0 24351.908174162159 nan nan nan nan nan nan nan nan nan nan 8225.3124408441072 80378.88814432417 37683.28859268922 0 897133.4111747134 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
33 0.0026620211868971966 7.9822802470384233e-05 0.20000000000000001 24.609971999999999 10916.456140066062 256.34501920688473 2346.4540260285944 1382.0206429916402 0 24256.206071171498 nan nan nan nan nan nan nan nan nan nan 7702.0737960697525 74265.232082393079 32226.536494326043 0 835866.19072962773 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
34 0.0027419432912974104 7.992210440021376e-05 0.20000000000000001 25.354163 10953.829734777701 257.46506091520416 2358.3012949813465 1382.3577061956296 0 24339.127823509196 nan nan nan nan nan nan nan nan nan nan 7679.0300936444346 72781.767372212198 31588.650610974728 0 741626.18117929134 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
35 0.0028219640132135385 8.0020721916127893e-05 0.20000000000000001 26.101120999999999 10992.777364138572 257.54954802951607 2365.2788250292438 1383.0947887092052 0 24426.050519951244 nan nan nan nan nan nan nan nan nan nan 8615.3436912821144 84326.462038547295 30997.408755247539 0 875127.21720854996 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
36 0.0029019384637369808 7.9974450523442449e-05 0.20000000000000001 26.839686 10992.120769820433 257.13086334653974 2361.983440964178 1383.8236338272675 0 24424.855069903188 nan nan nan nan nan nan nan nan nan nan 9201.2748186107929 92190.272839157144 32399.410172895728 0 973777.92084023426 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
37 0.0029815758392647469 7.9637375527765998e-05 0.20000000000000001 27.539092 10985.082839378931 257.41447381095844 2360.8345114045119 1382.8017193256032 0 24409.184389150563 nan nan nan nan nan nan nan nan nan nan 9471.2068908314304 96069.860900203639 32513.902192607871 0 1031165.5248903958 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
38 0.0030610830793269027 7.9507240062155751e-05 0.20000000000000001 28.346060000000001 11061.231305096439 259.74968284930139 2377.7894716241676 1392.4037766010026 0 24578.3247797328 nan nan nan nan nan nan nan nan nan nan 9489.6692621364964 96240.243166748085 46997.003402837829 0 1049377.4580069336 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
39 0.0031405815550236355 7.9498475696732822e-05 0.20000000000000001 29.078952000000001 11058.886491135388 259.65044920217827 2376.980962372339 1389.338762866548 0 24573.301224496248 nan nan nan nan nan nan nan nan nan nan 9308.9764831642824 93923.646719075012 45035.979056789751 0 1038129.2859264214 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
40 0.0032201315898705133 7.9550034846877753e-05 0.20000000000000001 29.869971 11040.457848234035 258.80621394403107 2369.5961222059786 1387.2248885212307 0 24532.675927486591 nan nan nan nan nan nan nan nan nan nan 9029.241367153616 90720.056506457826 41205.707419938612 0 1012480.7089120012 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
41 0.0032997596498309718 7.9628059960458396e-05 0.20000000000000001 30.661100999999999 10990.446507273691 257.88289721194587 2358.0453246307402 1382.258277929508 0 24421.548944684699 nan nan nan nan nan nan nan nan nan nan 8584.444525260813 85609.192855071393 37029.855698293235 0 963549.58547284966 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
42 0.003379481328286429 7.9721678455457279e-05 0.20000000000000001 31.376363000000001 10955.157157791287 258.00518856068265 2354.1517242860946 1378.2766749857012 0 24342.742206835188 nan nan nan nan nan nan nan nan nan nan 7857.238082057791 76973.670051304871 31502.331270974049 0 874963.07399159623 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
43 0.0034593029864517471 7.9821658165318029e-05 0.20000000000000001 32.147080000000003 10992.252308320658 259.38086476760174 2367.2242053684058 1379.0734090501576 0 24424.888571083909 nan nan nan nan nan nan nan nan nan nan 8697.7487663484826 86598.593630130927 30557.111339875133 0 888665.40915287565 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
44 0.0035392249642866597 7.9921977834912497e-05 0.20000000000000001 32.988624000000002 11032.847974358345 259.78787810474563 2376.3124988430709 1380.520859852702 0 24515.27041352509 nan nan nan nan nan nan nan nan nan nan 9517.9288925755209 97567.861744962633 31223.483626962876 0 1017439.2341888304 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
45 0.0036192429381806061 8.0017973893946394e-05 0.20000000000000001 33.736524000000003 11032.937390897428 259.18008449045658 2372.7522670326798 1381.4822508810259 0 24515.768731796037 nan nan nan nan nan nan nan nan nan nan 9867.1625676115727 102807.7197094571 32225.9900654579 0 1091204.4218333275 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
46 0.0036990034930348072 7.9760554854201086e-05 0.20000000000000001 34.480744999999999 11012.912375965885 258.8674793233784 2367.615129650877 1379.3194868665853 0 24471.331369229993 nan nan nan nan nan nan nan nan nan nan 9986.0737470703898 104107.17373711817 31818.372110151256 0 1123612.6003887746 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
47 0.0037786059162080248 7.9602423173217579e-05 0.20000000000000001 35.199525999999999 11074.756831260805 260.9220919730418 2381.5665518886312 1388.6573825181395 0 24608.593731715206 nan nan nan nan nan nan nan nan nan nan 9905.4028829028866 102585.98117190503 46339.930556073814 0 1125010.8982049592 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
48 0.0038581779907104134 7.9572074502388623e-05 0.20000000000000001 35.908749999999998 11082.849240048068 261.36070024145312 2385.2306370760666 1386.9789887838733 0 24626.538349211103 nan nan nan nan nan nan nan nan nan nan 9640.3107930153601 99343.395506282017 44424.039377152847 0 1103085.5526175667 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
49 0.0039377924393977602 7.9614448687346541e-05 0.20000000000000001 36.742483 11084.521820452328 261.14673383384246 2384.6003540227071 1385.9602779684242 0 24630.422602613125 nan nan nan nan nan nan nan nan nan nan 9234.0508031773861 94619.101074987339 40701.238770075885 0 1061245.2853221681 nan nan nan nan nan nan nan nan nan nan 0 0 0 0 running
